URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/299504,299504,E 180 mg,Windmill Natural Vitamins,0 35046 00269 5,90 Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2023-12-14,On Market,Directions: Take 1 softgel daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299505,299505,Folic Acid 400 mcg,Windmill Natural Vitamins,0 35046 00272 5,180 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2023-08-23,On Market,Directions: Take 1 tablet daily as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299506,299506,Folic Acid 800 mcg,Windmill Natural Vitamins,0 35046 00273 2,100 Tablet(s),1 Tablet(s),Single Vitamin and Mineral [A1316],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 1 tablet daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299507,299507,Odor-Controlled Garlic 350 mg,Windmill Natural Vitamins,0 35046 00276 3,100 Tablet(s),1 Tablet(s),Botanical with Nutrients [A1317],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 1 tablet daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299508,299508,K2 100 mcg & D3 25 mcg,Windmill Natural Vitamins,0 35046 00294 7,60 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2023-11-22,On Market,DIRECTIONS: Take 1 tablet daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299509,299509,Lecithin,Windmill Natural Vitamins,0 35046 00312 8,90 Softgel(s),1 Softgel(s),Fat/Fatty Acid [A1310],Softgel Capsule [E0161],2023-11-22,On Market,Directions: take 1 softgel daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299510,299510,L-Lysine 500 mg,Windmill Natural Vitamins,0 35046 00319 7,120 Tablet(s),1 Tablet(s),Amino acid/Protein [A1305],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 1 tablet daily as a dietary supplement or as directed by a healthcare professional. 
https://dsld.od.nih.gov/label/299511,299511,Magnesium Gluconate,Windmill Natural Vitamins,0 35046 00322 7,90 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 1 tablet daily as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299512,299512,Magnesium 400 mg,Windmill Natural Vitamins,0 35046 00323 4,100 Tablet(s),2 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 2 tablets daily as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299513,299513,Magnesium Oxide 400,Windmill Natural Vitamins,0 35046 00324 1,60 Tablet(s),2 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2023-11-22,On Market,DIRECTIONS: Take 2 tablets with meals as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299514,299514,No Flush Niacin 500 mg,Windmill Natural Vitamins,0 35046 00336 4,30 Tablet(s),1 Tablet(s),Single Vitamin and Mineral [A1316],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Take 1 tablet daily with food as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299515,299515,Omega 3 Fish Oil 1000 mg,Windmill Natural Vitamins,0 35046 00337 1,180 Softgel(s),1 Softgel(s),Fat/Fatty Acid [A1310],Softgel Capsule [E0161],2023-08-23,On Market,Directions: Take 1 softgel daily with meals as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299516,299516,Quick Melt B-12 3000 mcg,Windmill Natural Vitamins,0 35046 00341 8,60 Tablet(s),1 Tablet(s),Botanical with Nutrients [A1317],Tablet or Pill [E0155],2023-11-22,On Market,Directions: Place 1 tablet under the tongue daily; allow to dissolve slowly then swallow as a dietary supplement or as directed by a healthcare professional.
https://dsld.od.nih.gov/label/299517,299517,Cranberry 500 mg,Windmill Natural Vitamins,0 35046 00342 5,30 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2023-11-22,On Market,Directions: Take 1 capsule daily as a dietary supplement or as directed by a healthcare professional.
